length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
1690000,1.17081e+06,1.04502e+06,1.24402e+06,3054514,2726590,3246134
1695000,1.24015e+06,1.0331e+06,1.51962e+06,3234374,2695874,3962310
1700000,1.20625e+06,1.12728e+06,1.32466e+06,3145339,2940078,3453686
1705000,1.21003e+06,1.11837e+06,1.43973e+06,3156823,2918374,3757460
1710000,1.16859e+06,1.04918e+06,1.34816e+06,3048484,2737714,3512770
1715000,1.16208e+06,1.06154e+06,1.23987e+06,3031688,2769408,3234718
1720000,1.2173e+06,1.09659e+06,1.46291e+06,3175864,2860828,3815364
1725000,1.22021e+06,1.12746e+06,1.30512e+06,3182776,2942120,3404168
1730000,1.2432e+06,1.12226e+06,1.40207e+06,3243464,2927238,3656952
1735000,1.24195e+06,1.07676e+06,1.54204e+06,3240595,2809892,4021780
1740000,1.18289e+06,1.10246e+06,1.26936e+06,3085786,2875972,3309732
1745000,1.24585e+06,1.1646e+06,1.32541e+06,3249891,3038488,3457446
1750000,1.23942e+06,1.14134e+06,1.49274e+06,3233476,2977720,3894380
1755000,1.19456e+06,1.12096e+06,1.28138e+06,3116434,2925520,3341990
1760000,1.26631e+06,1.12613e+06,1.43092e+06,3303785,2938280,3732574
1765000,1.2538e+06,1.15475e+06,1.41095e+06,3266687,3011404,3641096
1770000,1.24051e+06,1.09792e+06,1.38014e+06,3236024,2865036,3599558
1775000,1.31192e+06,1.14171e+06,1.57627e+06,3422423,2977860,4112508
1780000,1.27288e+06,1.14285e+06,1.54615e+06,3320414,2980792,4031352
1785000,1.20967e+06,1.12293e+06,1.30865e+06,3155983,2930132,3415246
1790000,1.26786e+06,1.18207e+06,1.41292e+06,3308232,3083780,3687082
1795000,1.24851e+06,1.1154e+06,1.50131e+06,3257550,2910258,3918582
1800000,1.23032e+06,1.12353e+06,1.3256e+06,3210035,2931704,3459656
1805000,1.35493e+06,1.25307e+06,1.4634e+06,3535156,3269452,3818688
1810000,1.31945e+06,1.13793e+06,1.50299e+06,3442657,2970104,3922558
1815000,1.37813e+06,1.27984e+06,1.54394e+06,3595540,3340032,4028192
1820000,1.26425e+06,1.14985e+06,1.39866e+06,3298463,3000602,3648674
1825000,1.3361e+06,1.25377e+06,1.49732e+06,3486226,3270274,3907330
